Edward Abbey		29-Jan	Indiana, PA	14-Mar	Oracle, AZ	 Complications of Surgery 	 Buried, Cabeza Prieta Desert, Pima County, AZ	 Male			 Straight	 Author		 United States	Desert Solitaire	Jonathan Troy|The Brave Cowboy|Fire on the Mountain|Desert Solitaire|Black Sun|The Monkey Wrench Gang|The Journey Home|Abbey's Road|Good News|Down the River|The Fool's Progress|One Life at a Time|Hayduke Lives!
Ignatius Donnelly	 Ignatius Loyola Donnelly	3-Nov	Philadelphia, PA	1-Jan	Minneapolis, MN	 unspecified	 Buried, 	 Male			 Straight	 Author, Politician		 United States	Atlantis, the Antediluvian World	Atlantis: The Antediluvian World|Ragnarok: The Age of Fire and Gravel|The Great Cryptogram: Francis Bacon's Cipher in the So-Called Shakespeare Plays|Caesar's Column: A Story of the Twentieth Century by Edmund Boisgilbert M. D.|Doctor Huguet|The Golden Bottle; or, The Story of Ephraim Benezet of Kansas|The Bryan Campaign for the American People's Money
Ducky DooLittle		3-Jun	Fridley, MN					 Female			Bisexual	 Author	http://www.duckydoolittle.com/	 United States	 Crackpot sexologist	
Ann Druyan		13-Jun	Queens, NY					 Female	Atheist		 Straight	 Author, Film/TV Producer		 United States	 Co-wrote 	
Daphne Du Maurier		13-May	London, England	19-May	 Par, Cornwall, England	 unspecified	 Cremated (ashes scattered)	 Female			Bisexual	 Author		 England	Rebecca	The Loving Spirit|I'll Never Be Young Again|The Progress of Julius|Gerald, A Portrait|Jamaica Inn|The Du Mauriers|Rebecca|Frenchman's Creek|My Cousin Rachel|Vanishing Cornwall|The House on the Strand|The Winding Stair|Myself When Young|The Rendezvous and Other Stories
Alice Dunbar-Nelson	 Alice Ruth Moore	19-Jul	New Orleans, LA	18-Sep	Philadelphia, PA	 unspecified	 Buried, Wilmington and Brandywine Cemetery, Wilmington, DE	 Female			 Straight	 Author		 United States	 Harlem Renaissance influence	Violets, and Other Tales|The Goodness of St. Rocque, and Other Stories
Lois Duncan		28-Apr	Philadelphia, PA	15-Jun	South Sarasota, FL	 unspecified		 Female			 Straight	 Author	http://www.arquettes.com/	 United States	I Know What You Did Last Summer	I Know What You Did Last Summer|Killing Mr. Griffin|Who Killed My Daughter? The True Story of a Mother's Search for Her Daughter's Murderer
Finley Peter Dunne	 Peter Finley Dunne	10-Jul	Chicago, IL	24-Apr	New York City	 unspecified		 Male	Roman Catholic		 Straight	 Author		 United States	 Creator of Mr. Dooley	Mr Dooley in Peace and War|Mr. Dooley in the Hearts of His Countrymen|Mr. Dooley's Philosophy|Mr. Dooley's Opinions|Observations by Mr. Dooley|Dissertations by Mr. Dooley|Mr. Dooley Says|Mr. Dooley on Making a Will and Other Necessary Evils
Henry van Dyke		10-Nov	Germantown, PA	10-Apr	Princeton, NJ	 unspecified		 Male	Presbyterian		 Straight	 Author		 United States	The Unknown Quantity	Little Rivers|Fisherman's Luck|The Ruling Passion|The Blue Flower|The Unknown Quantity|The Valley of Vision|Poems|The Golden Key
George Dyson	 George Bernard Dyson	1953	Ithaca, NY					 Male			 Straight	 Author		 United States	Darwin Among the Machines	Baidarka: The Kayak|Darwin Among the Machines: The Evolution of Global Intelligence|Project Orion: The True Story of the Atomic Spaceship|Turing's Cathedral: The Origins of the Digital Universe
Max Eastman	 Max Forrester Eastman	12-Jan	Canandaigua, NY	25-Mar	 Bridgetown, Barbados	Stroke		 Male			 Straight	 Author		 United States	 Socialist writer, later embraced McCarthyism	Enjoyment of Poetry|Understanding Germany|Journalism Versus Art|Leon Trotsky: The Portrait of a Youth|Since Lenin Died|Artists in Uniform|Enjoyment of Laughter|Stalin's Russia and the Crisis in Socialism|Heroes I Have Known|Enjoyment of Living|Love and Revolution: My Journey Through an Epoch|Seven Kinds of Goodness
Isabelle Eberhardt		17-Feb	Geneva, Switzerland	21-Oct	 Aïn Sefra, Algeria	Accident - Drowning		 Female	Muslim		 Straight	 Author		 Algeria	 Transvestite Muslim author	The Oblivion Seekers|Sandmeere|The Nomad: Diaries of Isabelle Eberhardt|In the Shadow of Islam|Prisoner of Dunes|Departures: Selected Writings
Umberto Eco		5-Jan	 Alessandria, Italy	19-Feb	Milan, Italy	 unspecified		 Male	Atheist		 Straight	Scholar		 Italy	Foucault's Pendulum	
David Eddings	 David Carroll Eddings	7-Jul	Spokane, WA	2-Jun	Carson City, NV	 Natural Causes		 Male			 Straight	 Author		 United States	The Belgariad	Pawn of Prophecy|Queen of Sorcery|Magician's Gambit|Castle of Wizardry|Enchanters' End Game|Guardians of the West|King of the Murgos|Demon Lord of Karanda|Sorceress of Darshiva|The Seeress of Kell|The Diamond Throne|The Ruby Knight|The Sapphire Rose|Domes of Fire|The Shining Ones|The Hidden City|The Losers|Belgarath the Sorcerer|Polgara the Sorceress|The Rivan Codex, Ancient Texts of The Belgariad and The Malloreon
Leon Edel	 Joseph Leon Edel	9-Sep	Pittsburgh, PA	5-Sep	Honolulu, HI	 unspecified		 Male			 Straight	 Author		 United States	 Biographer of Henry James	The Psychological Novel|Henry James: The Conquest of London, 1870–1883|Henry James: The Middle Years, 1882–1895|Willa Cather: A Critical Biography|Henry D. Thoreau|Bloomsbury: A House of Lions|Writing Lives: Principia Biographica
Maria Edgeworth		1-Jan	 Blackbourton, Oxfordshire, England	22-May	 Edgeworthstown, County Longford, Ireland	 unspecified	 Buried, Edgeworthstown Church, Edgeworthstown, County Longford, Ireland	 Female			 Straight	 Author		 Ireland	Castle Rackrent	Letters for Literary Ladies|The Parent's Assistant|Castle Rackrent|Moral Tales for Young People|Belinda|Tales of Fashionable Life|Patronage|Harrington|Ormond|Early Lessons|Helen
Dave Eggers	 David Eggers	12-Mar	Lake Forest, IL					 Male			 Straight	 Author	http://www.mcsweeneys.net/	 United States	A Heartbreaking Work of Staggering Genius	A Heartbreaking Work of Staggering Genius|You Shall Know Our Velocity|How We Are Hungry|What Is the What: The Autobiography of Valentino Achak Deng
Barbara Ehrenreich	 Barbara Alexander	26-Aug	Butte, MT					 Female	Atheist		 Straight	 Author, 	http://barbaraehrenreich.com/	 United States	Nickel and Dimed	The American Health Empire: Power, Profits, and Politics|Witches, Midwives, and Nurses: A History of Women Healers|Complaints and Disorders: The Sexual Politics of Sickness|For Her Own Good: 150 Years of the Experts' Advice to Women|The Hearts of Men: American Dreams and the Flight from Commitment|Fear of Falling: The Inner Life of the Middle Class|The Worst Years of Our Lives: Irreverent Notes from a Decade of Greed|Kipper's Game|Blood Rites: Origins and History of the Passions of War|Nickel and Dimed: On (Not) Getting By in America|Bait and Switch: The (Futile) Pursuit of the American Dream|Dancing in the Streets: A History of Collective Joy|This Land Is Their Land: Reports from a Divided Nation|Bright-Sided: How the Relentless Promotion of Positive Thinking Has Undermined America|Living with a Wild God: A Nonbeliever's Search for the Truth About Everything
Einhard		 c. 770 AD	 Maingau, Franconia, Germany	14-Mar	 Seligenstadt, Franconia, Germany	 unspecified	 Buried, Seligenstadt Abbey, Seligenstadt, Franconia, Germany	 Male	Roman Catholic		 Straight	 Author		 Germany	 Biographer, friend of Charlemagne	
David Eisenhower	 Dwight David Eisenhower II	31-Mar	West Point, NY					 Male			 Straight	 Author		 United States	 Camp David namesake	Eisenhower: At War, 1943-1945
Charles Eisenstein	 Charles Dudley Eisenstein	25-Nov						 Male			 Straight	 Author		 United States	Sacred Economics	The Yoga of Eating: Transcending Diets and Dogma to Nourish the Natural Self|The Ascent of Humanity|Transformational Weight Loss|Sacred Economics: Money, Gift & Society in the Age of Transition
Warren Ellis		16-Feb	Essex, England					 Male	Atheist		 Straight	 Author, Artist	http://www.warrenellis.com/	 England	Transmetropolitan	
Harlan Ellison	 Harlan Jay Ellison	27-May	Cleveland, OH					 Male	Atheist		 Straight	 Author, Novelist	http://www.harlanellison.com/	 United States	I Have No Mouth And I Must Scream	Run for the Stars|A Touch of Infinity|The Deadly Streets|Rumble|Sex Gang|The Man With Nine Lives|Spider Kiss|Gentleman Junkie and Other Stories of the Hung-Up Generation|The Juvies|Memos from Purgatory|Ellison Wonderland|Paingod and Other Delusions|Doomsman|From the Land of Fear|I Have No Mouth, and I Must Scream|Love Ain't Nothing but Sex Misspelled|The Beast Who Shouted Love at the Heart of the World|A Boy and His Dog|The Glass Teat: Essays of Opinion on Television|Over the Edge|Alone Against Tomorrow|Partners in Wonder|Approaching Oblivion|Deathbird Stories|No Doors, No Windows|The Other Glass Teat|The Book of Ellison|Strange Wine|The Fantasies of Harlan Ellison|Shatterday|Stalking the Nightmare|Sleepless Nights in the Procrustean Bed|An Edge in My Voice|The Essential Ellison: A 35-Year Retrospective|Angry Candy|Harlan Ellison's Watching|The Harlan Ellison Hornbook|Dreams With Sharp Teeth|Mefisto in Onyx|Mind Fields|Edgeworks|Slippage|Troublemakers
Garth Ennis		16-Jan	 Holywood, Northern Ireland					 Male				 Author		 Northern Ireland	 Creator of 	
Jon Entine		30-Apr	Philadelphia, PA					 Male				 Author, Film/TV Producer	http://www.jonentine.com/	 United States	Taboo	Taboo: Why Black Athletes Dominate Sports and Why We Are Afraid to Talk About It|Pension Fund Politics: The Dangers of Socially Responsible Investing|Abraham's Children: Race, Identity, and the DNA of the Chosen People|No Crime But Prejudice: Fischer Homes, the Immigration Fiasco, and Extra-Judicial Prosecution|Crop Chemophobia: Will Precaution Kill the Green Revolution?
Delia Ephron		12-Jul	New York City					 Female	Jewish		 Straight	 Author	http://www.deliaephronwriter.com/	 United States	Heartburn	Teenage Romance: Or How to Die of Embarrassment|Heartburn|Santa and Alex|How to Eat Like a Child: And Other Lessons in Not Being a Grown-up|Funny Sauce|Do I Have to Say Hello? Aunt Delia's Manners Quiz for Kids and Their Grownups|The Girl Who Changed the World|Hanging Up|Big City Eyes|Frannie in Pieces|The Girl with the Mermaid Hair|I Remember Nothing: And Other Reflections|The Lion Is In
Nora Ephron	 Nora Louise Ephron	19-May	New York City	26-Jun	New York City	Cancer - Leukemia	 Cremated (ashes scattered)	 Female	Jewish		 Straight	 Author, 		 United States	When Harry Met Sally	Crazy Salad: Some Things About Women
Péter Esterházy		14-Apr	Budapest, Hungary	14-Jul		Cancer - Pancreatic		 Male				 Author		 Hungary	Celestial Harmonies	Fancsikó és Pinta (Fantsiko and Pinta)|Pápai vizeken ne kalózkodj (Do Not Make Piracy on Papal Waters)|Termelési-regény Kisssregény (Novel of Production)|Függő (Indirect or Suspended|Ki szavatol a lady biztonságáért? (Who Grants the Security of the Lady?)|Fuharosok (The Transporters)|Kis Magyar Pornográfia (Little Hungarian Pornography)|A Szív Segédigéi (Helping Verbs of the Heart)|Bevezetés a Szépirodalomba (An Introduction to Literature)|Tizenhét Hattyúk (Seventeen Swans)|A Kitömött Hattyú|Hrabal Könyve (The Book of Hrabal)|Hahn-Hahn Grófnő Pillantása:Lefelé a Dunán (The Glance of Countess Hahn-Hahn: Down the Danube)|Az Elefántcsonttoronyból (From the Ivory-Tower)|A Halacska Csodálatos Élete (The Wonderful Life of Little Fishy)|Egy Kékharisnya Följegyzéseiből|Egy Nő (She Loves Me)|Egy Kék Haris|Harmonia Caelestis (Celestial Harmonies)|Utazás a Tizenhatos Mélyére|Deutschlandreise im Strafraum|Búcsúszimfónia (Farewell Symphony)
Jeffrey Eugenides		8-Mar	Detroit, MI					 Male			 Straight	 Author		 United States	The Virgin Suicides	The Virgin Suicides|Middlesex|The Marriage Plot
John Evelyn		31-Oct	 Wotton, Surrey, England	27-Feb	 Wotton, Surrey, England	 unspecified	 Buried, St. John the Evangelist Churchyard, Wotton, Surrey, England	 Male			 Straight	 Author		 England	 English diarist	
Judith Exner	 Judith Eileen Katherine Inmoor	11-Jan	New York City	25-Sep	Duarte, CA	Cancer - Lung	 Cremated	 Female			 Straight	 Author		 United States	 JFK mistress	
John Fante		8-Apr	Boulder, CO	8-May	Woodland Hills, CA	Diabetes complications		 Male	Roman Catholic		 Straight	 Author, 		 United States	 Bukowski's idol	Wait Until Spring, Bandini|Ask the Dusk|Dago Red|Full of Life|The Brotherhood of the Grape|Dreams from Bunker Hill|Road to Los Angeles|West of Rome|The Wine of Youth: Selected Stories|1933 Was a Bad Year|Give Me Your Heart: A John Fante Reader
Nuruddin Farah		1945	Baidoa, Somalia					 Male				 Author		 Somalia	From a Crooked Rib	From a Crooked Rib|A Naked Needle|Maps|Secrets|Gifts|Yesterday, Tomorrow, Voices from the Somali Diaspora
Oliver La Farge		19-Dec	New York City	2-Aug	Albuquerque, NM	 unspecified	 Buried, 	 Male			 Straight	 Author, 		 United States	Laughing Boy	Laughing Boy|The Sparks Fly Upward|Long Pennant|All the Young Men|The Enemy Gods|The Copper Pot|Raw Material|A Pause in the Desert|The Door in the Wall
Philip Jose Farmer	 Philip José Farmer	26-Jan	Terre Haute, IN	25-Feb	Peoria, IL	 unspecified	 Cremated, First Federated Columbarium, Peoria, IL	 Male			 Straight	 Author	http://www.pjfarmer.com/	 United States	Riverworld	The Green Odessey|Flesh|A Woman A Day|The Lovers|Cache From Outer Space|Night of Light|A Private Cosmos|Image of the Beast|A Feast Unknown|Blown|Behind the Walls of Terra|Lord of the Trees|The Mad Goblin|Lord Tyger|Love Song|The Stone God Awakens|To Your Scattered Bodies Go|The Fabulous Riverboat|The Wind Whales of Ismael|Tarzan Alive|Time's Last Gift|The Other Log of Phileas Fogg|Doc Savage His Apocalyptic Life|Traitor To The Living|The Adventures of the Peerless Peer|Hadon of Ancient Opar|Venus on the Half-Shell|Ironcastle|Flight To Opar|The Dark Design|The Lavalite World|Dark Is The Sun|Jesus On Mars|The Magic Labyrinth|The Unreasoning Mask|A Barnstormer In Oz|Gods of Riverworld|River of Eternity|Dayworld|Dayworld Rebel|Dayworld Breakup|Red Orc's Rage|Escape from Loki|The Caterpillar's Question|More Than Fire|Nothing Burns In Hell|Naked Came The Farmer|The Dark Heart of Time
William Faulkner	 William Cuthbert Falkner	25-Sep	New Albany, MS	6-Jul	Byhalia, MS	 Heart Failure	 Buried, St Peter's Cemetery, Oxford, MS	 Male	Presbyterian		 Straight	 Author		 United States	The Reivers	The Marble Faun|Soldier's Pay|Mosquitoes|Sartoris|The Sound and the Fury|As I Lay Dying|Sanctuary|These Thirteen|Salmagundi|Light in August|A Green Bough|Doctor Martino and Other Stories|Pylon|Absalom, Absalom!|The Unvanquished|The Wild Palms|The Hamlet|A Rose for Emily and Other Stories|Go Down, Moses and Other Stories|Intruder in the Dust|Knight's Gambit|Collected Stories of William Faulkner|Requiem for a Nun|New Orleans Sketches|A Fable|Big Woods: The Hunting Stories of William Faulkner|Jealousy and Episode: Two Stories|The Town|Collected Stories|The Mansion|The Reivers: A Reminiscence|The Wishing Tree|Selected Letters of William Faulkner|Uncollected Stories of William Faulkner|Thinking of Home: William Faulkner's Letters to His Mother and Father: 1918-1925|The Marionettes
François Fénelon	 François de Salignac de La Mothe-Fénelon	6-Aug	 Périgord, France	7-Jan	 Cambrai, France	 unspecified	 Buried, Cambrai Cathedral, Cambrai, France	 Male	Roman Catholic			 Author		 France	Télémaque	L'Education des Filles|Explication des Maximes des Saints|Les Aventures de Télémaque|Fables|Dialogues des Morts|Démonstration de l'Existence de Dieu
Rachel Field	 Rachel Lyman Field	19-Sep	Stockbridge, MA	15-Mar	Beverly Hills, CA	Pneumonia		 Female			 Straight	 Author		 United States	Hitty, Her First Hundred Years	The Pointed People|Taxis and Toadstools: Verses and Decorations|Hitty, Her First Hundred Years|The Pointed People: Verses and Silhouettes|Calico Bush|Hepatica Hawks|God's Pocket: The Story of Captain Samuel Hadlock, Junior, of Cranberry Isles, Maine|Time Out of Mind|Fear Is the Thorn|All This, and Heaven Too|And Now Tomorrow|Prayer for a Child
Dorothy Canfield Fisher	 Dorothea Frances Canfield	17-Feb	Lawrence, KS	9-Nov	Arlington, VT	Stroke		 Female			 Straight	 Author		 United States	Understood Betsy	Gunhild|A Montessori Mother|The Montessori Manual|Mothers and Children|Hillsboro People|The Bent Twig|Fellow Captains|Understood Betsy|Home Fires in France|The Brimming Cup|Her Son's Wife|Why Stop Learning?|Basque People|Bonfire|On a Rainy Day|Seasoned Timber|Our Young Folks|Paul Revere and the Minute Men|A Fair World For All: The Meaning of the Declaration of Human Rights|Vermont Tradition: The Biography of an Outlook on Life|Memories of My Home Town|A Harvest of Stories from a Half Century of Writing|Memories of Arlington, Vermont
F. Scott Fitzgerald	 Francis Scott Key Fitzgerald	24-Sep	St. Paul, MN	21-Dec	Hollywood, CA	 Heart Failure	 Buried, St. Mary's Cemetery, Rockville, MD	 Male	Roman Catholic		 Straight	 Author		 United States	The Great Gatsby	This Side of Paradise|Flappers and Philosophers|The Beautiful and Damned|Tales of the Jazz Age|The Great Gatsby|All the Sad Young Men|Tender Is the Night|Taps at Reveille|The Last Tycoon|The Crack-Up
Caitlin Flanagan		 ?	Berkeley, CA					 Female			 Straight	 Author		 United States	 Antifeminist	
Michael Flynn	 Michael Francis Flynn	1947	Easton, PA					 Male				 Author		 United States	The January Dancer	In the Country of the Blind|The Nanotech Chronicles|Fallen Angels|Firestar|The Forest of Time and Other Stories|Rogue Star|Lodestar|Falling Stars|The Wreck of the River of Stars|Eifelheim|The January Dancer|Up Jim River|In the Lion's Mouth
Theodor Fontane		30-Dec	 Neuruppin, Brandenburg, Germany	20-Sep	Berlin, Germany	 unspecified	 Buried, Franzoesischer Friedhof II, Berlin, Germany	 Male				 Author		 Germany	Before the Storm	Männer und Helden|Ein Sommer in London|Jenseits des Tweed|Aus England, Studien und Briefe|Balladen|Wanderungen durch die Mark Brandenburg|Der schleswig-holsteinische Krieg im Jahre 1864|Der deutsche Krieg von 1866|Kriegsgefangen Erlebtes 1870|Der Krieg gegen Frankreich 1870-71|Vor dem Sturm|Before the Storm|L'Adultera|The Woman Taken in Adultery|Schach von Wuthenow|A Man of Honor|Irrungen, Wirrungen|Entanglements|Frau Jenny Treibel|Effi Briest|Die Poggenpuhls|Der Stechlin
Bernard le Bovier de Fontenelle		11-Feb	Rouen, France	9-Jan	Paris, France	 unspecified		 Male				 Author		 France	Nouveaux Dialogues des Morts	
Shelby Foote	 Shelby Dade Foote, Jr.	17-Nov	Greenville, MS	27-Jun	Memphis, TN	 Heart Failure	 Buried, Elmwood Cemetery, Memphis, TN	 Male	Anglican/Episcopalian		 Straight	 Author, 		 United States	Shiloh	Tournament|Follow Me Down|Love in a Dry Season|Shiloh|Jordan Country: A Landscape in Narrative|Fort Sumter to Perryville|Fredericksburg to Meridian|Red River to Appomattox|September, September
Kathryn Forbes	 Kathryn Anderson	20-Mar	San Francisco, CA	15-May	San Francisco, CA	 unspecified	 Buried, 	 Female	Roman Catholic		 Straight	 Author		 United States	Mama's Bank Account	Mama's Bank Account|Transfer Point
John M. Ford		10-Apr	East Chicago, IN	24-Sep	Minneapolis, MN	 unspecified		 Male				 Author		 United States	Growing Up Weightless	Web of Angels|The Princes of the Air|The Dragon Waiting|The Final Reflection|Star Trek|How Much for Just the Planet?|Star Trek|The Scholars of Night|Casting Fortune|Growing Up Weightless|From the End of the Twentieth Century|The Last Hot Time|Heat of Fusion: And Other Stories
E. M. Forster	 Edward Morgan Forster	1-Jan	London, England	7-Jun	Coventry, Warwickshire, England	Stroke	 Cremated (ashes scattered)	 Male			Gay	 Author		 England	Howards End	Where Angels Fear to Tread|The Longest Journey|A Room With a View|Howard's End|The Celestial Omnibus and Other Stories|A Passage to India|The Eternal Moment and Other Stories|Maurice|Life to Come and Other Stories
John Forster		2-Apr	Newcastle-upon-Tyne, England	2-Feb	London, England	 unspecified		 Male	Unitarian			 Author, 		 England	Life of Charles Dickens	
Justin Fox	 Justin Mickle Fox	28-Jan	Morristown, NJ					 Male			 Straight	 Author		 United States	The Myth of the Rational Market	The Myth of the Rational Market: A History of Risk, Reward, and Delusion on Wall Street
Janet Frame	 Janet Paterson Frame Clutha	28-Aug	Dunedin, New Zealand	29-Jan	Dunedin, New Zealand	Cancer - Leukemia	 Cremated	 Female			 Straight	 Author		 New Zealand	 Kiwi author, subject of 	Owls Do Cry|Faces in the Water|The Edge of the Alphabet|Scented Gardens for the Blind|The Adaptable Man|A State of Siege|The Rainbirds|Intensive Care
Thomas Frank	 Thomas Carr Frank	21-Mar	Kansas City, MO					 Male			 Straight	 Author, 	http://www.tcfrank.com/	 United States	 Founding editor, 	The Conquest of Cool: Business Culture, Counterculture, and the Rise of Hip Consumerism|One Market Under God: Extreme Capitalism, Market Populism, and the End of Economic Democracy|New Consensus for Old: Cultural Studies from Left to Right|What's the Matter with Kansas? How Conservatives Won the Heart of America|The Wrecking Crew: How Conservatives Rule|Pity the Billionaire: The Hard-Times Swindle and the Unlikely Comeback of the Right
Waldo Frank	 Waldo David Frank	25-Aug	Long Branch, NJ	9-Jan	White Plains, NY	 unspecified		 Male	Jewish		 Straight	 Author		 United States	 American cultural critic and social historian	The Unwelcome Man|Our America|The Dark Mother|City Block|Rehab|Holiday|Chalk Face|Salvos|Virgin Spain: Scenes from the Spiritual Drama of a Great People|Charles Chaplin: A Portrait|The Rediscovery of America|Tales from the Argentine|America Hispaña: A Portrait and a Prospect|Dawn of Russia|The Death and Birth of David Markand: An American Story|In the American Jungle|The Bridegroom Cometh|South of Us: The Characters of the Countries and the People of Central and South America|Summer Never Ends: A Modern Love Story|South American Journey|The Jew in Our Day|Birth of a World: Bolivar in Terms of his Peoples|Bridgehead: The Drama of Israel|Rediscovery of Man:A Memoir and a Methodology of Modern Life|The Prophetic Island: A Portrait of Cuba|Island in the Atlantic|Memoirs of Waldo Frank
Jonathan Franzen		17-Aug	Western Springs, IL					 Male			 Straight	 Author	http://www.jonathanfranzen.com/	 United States	The Corrections	The Twenty-Seventh City|Strong Motion|The Corrections|How to Be Alone|The Discomfort Zone: A Personal History|Freedom|Farther Away
Marilyn French	 Marilyn Edwards	21-Nov	Brooklyn, NY	2-May	Manhattan, NY	 Heart Failure		 Female			 Straight	 Author		 United States	The Women's Room	The Women's Room|The Bleeding Heart|Beyond Power: On Women, Men and Morals|Her Mother's Daughter|The War Against Women|Our Father|My Summer with George|A Season in Hell: A Memoir|Women's History of the World|From Eve to Dawn: A History of Women|In the Name of Friendship
James Frey	 James Christopher Frey	12-Sep	Cleveland, OH					 Male			 Straight	 Author	http://www.bigjimindustries.com/	 United States	 Addiction memoirist, 	A Million Little Pieces|My Friend Leonard|Bright Shiny Morning|I Am Number Four
Northrop Frye	 Herman Northrop Frye	14-Jul	Sherbrooke, Quebec, Canada	23-Jan	Toronto, Ontario, Canada	 unspecified	 Buried, 	 Male			 Straight	 Author, 		 Canada	Fearful Symmetry	Fearful Symmetry: A Study of William Blake|Anatomy of Criticism|The Well-Tempered Critic|The Stubborn Structure: Essays on Criticism and Society|The Secular Scripture: A Study of the Structure of Romance|The Great Code: The Bible and Literature|Northrop Frye on Shakespeare|Words with Power: Being a Second Study of "The Bible and Literature"
Francis Fukuyama		27-Oct	Chicago, IL					 Male			 Straight	 Author		 United States	The End of History and the Last Man	The End of History and the Last Man|Trust: The Social Virtues and the Creation of Prosperity|The Great Disruption: Human Nature and the Reconstitution of Social Order|Our Posthuman Future: Consequences of the Biotechnology Revolution|State-Building: Governance and World Order in the 21st Century|America at the Crossroads: Democracy, Power, and the Neoconservative Legacy|The Origins of Political Order: From Prehuman Times to the French Revolution
Margaret Fuller	 Sarah Margaret Fuller	23-May	Cambridge, MA	19-Jul	 (at sea, Fire Island, NY)	 unspecified	 Missing (lost at sea)	 Female			 Straight	 Author, 		 United States	Woman in the Nineteenth Century	Summer on the Lakes, in 1843|Woman in the Nineteenth Century|Papers on Literature and Art|At Home and Abroad
Michael Fumento	 Michael Aaron Fumento	4-Jan						 Male			 Straight	 Author, 	http://fumento.com/	 United States	 Conservative science writer	The Myth of Heterosexual AIDS: How A Tragedy Has Been Distorted by the Media and Partisan Politics|Science Under Siege: Balancing Technology and the Environment|The Fat of the Land: The Obesity Epidemic and How Overweight Americans Can Help Themselves|Polluted Science: The EPA's Efforts to Expand Clean Air Regulations|BioEvolution: How Biotechnology Is Changing Our World
Mavis Gallant	 Mavis De Trafford Young	11-Aug	Montreal, Quebec, Canada	18-Feb	Paris, France	 unspecified		 Female	Jewish		 Straight	 Author		 Canada	 Prolific Canadian short story author	My Heart Is Broken|Green Water, Green Sky|A Fairly Good Time|The Pegnitz Junction|The End of the World and Other Stories|From the Fifteenth District|Home Truths: Selected Canadian Stories|Overhead in a Balloon: Stories of Paris|Paris Journals: Selected Essays and Reviews|In Transit|Across the Bridge|The Collected Stories of Mavis Gallant|Paris Stories|Varieties of Exile|Montreal Stories|What is to be Done?
Paul Gallico	 Paul William Gallico	26-Jul	New York City	15-Jul	 Antibes, France	 unspecified		 Male			 Straight	 Author		 United States	The Snow Goose	The Snow Goose|Lou Gehrig: Pride of the Yankees|The Love of Seven Dolls|Thomasina: The Cat Who Thought She Was God|Mrs. 'Arris Goes to Paris|The Silent Miaow|The Poseidon Adventure
Gabriel García Márquez	 Gabriel José García Márquez	6-Mar	 Aracataca, Colombia	17-Apr	Mexico City, Mexico	 unspecified		 Male	Roman Catholic		 Straight	 Novelist		 Colombia	One Hundred Years of Solitude	
Roger Martin du Gard		23-Mar	Neuilly-sur-Seine, France	22-Aug	 Bellême, France	 unspecified	 Buried, Cimiez Monastery, Cimiez, France	 Male	Agnostic		Bisexual	 Author		 France	Les Thibault	L'Abbaye de Jumieges|Devenir!|L'une de Nous|Jean Barois|Le Testament du Père Leleu (Old Leleu's Will)|Temoignage: In Memoriam|Le Cahier Gris (Les Thibault, Volume 1)|Le Penitencier (Les Thibault, Volume 2)|La Belle Saison (Les Thibault, Volume 3|Noizemont-les-Vierges|La Gonfle (The Swelling)|La Consultation (Les Thibault, Volume 4)|La Sorellina (Les Thibault, Volume 5)|La Mort du Père (Les Thibault, Volume 6)|Dialogue|Confdence Africaine (African Secret)|Un Taciturne  (The Silent One)|Vieille France (The Postman)|Notes sur André Gide (Recollections of André Gide)|L'été 1914, Part 1 (Les Thibault, Volume 7)|Epilogue (Les Thibault, Volume 8)|Lieutenant-Colonel de Maumort
Chris Gardner	 Christopher Paul Gardner	9-Feb	Milwaukee, WI					 Male	Methodist		 Straight	 Author		 United States	The Pursuit of Happyness	The Pursuit of Happyness
Hamlin Garland	 Hannibal Hamlin Garland	14-Sep	West Salem, WI	4-Mar	Hollywood, CA	 unspecified	 Buried, Neshonoc Cemetery, West Salem, WI	 Male				 Author		 United States	A Son of the Middle Border	Under the Wheel: A Modern Play in Six Scenes|Main-Travelled Roads|A Member of the Third House|Jason Edwards, An Average Man|A Little Norsk: or, Ol' Pap's Flaxen|A Spoil of Office|Prairie Folks|Prairie Songs|Crumbling Idols|Rose of Dutcher's Coolly|Wayside Courtships|Ulysses S. Grant: His Life and Character|The Spirit of Sweetwater|The Trail of the Gold Seekers|Boy Life on the Prairie|The Eagle's Heart|Her Mountain Lover|The Captain of the Gray Horse Troop|Hesper|The Light of the Star|The Tyranny of the Dark|The Long Trail|Money Magic|The Shadow World|The Moccasin Ranch|Cavanagh, Forest Ranger|Other Main-Travelled Roads|Victor Ollnee's Discipline|The Forester's Daughter|They of the High Trails|A Son of the Middle Border|A Daughter of the Middle Border|A Pioneer Mother|The Book of the American Indian|Trail-Makers of the Middle Border|Memories of the Middle Border|The Westward March of American Settlement|Back-Trailers from the Middle Border|Roadside Meetings|Companions on the Trail|My Friendly Contemporaries|Afternoon Neighbors|Long Trail|Forty Years of Psychic Research|Iowa, O Iowa!|The Mystery of the Buried Crosses
